event-id,visible,timestamp,location-long,location-lat,gps:hdop,gps:satellite-count,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18974480135,true,2012-10-05 21:00:10.000,-82.41788,28.0619,1.9,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480136,true,2012-10-05 21:04:09.000,-82.41801,28.06218,3.3,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480137,true,2012-10-05 21:08:11.000,-82.41766,28.06218,3.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480138,true,2012-10-05 21:12:13.000,,,0.0,0,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480139,true,2012-10-05 21:16:12.000,-82.41793,28.06206,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480140,true,2012-10-05 21:20:08.000,-82.41792,28.06187,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480141,true,2012-10-05 21:24:11.000,-82.41782,28.06184,1.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480142,true,2012-10-05 21:28:12.000,-82.4182,28.06193,2.1,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480143,true,2012-10-05 21:32:13.000,-82.42059,28.0623,3.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480144,true,2012-10-05 21:36:10.000,-82.4179,28.0625,3.8,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480145,true,2012-10-05 21:40:11.000,-82.41824,28.06225,2.3,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480146,true,2012-10-05 21:44:11.000,-82.41853,28.0623,1.9,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480147,true,2012-10-05 21:48:15.000,-82.41849,28.06228,2.2,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480148,true,2012-10-05 21:52:08.000,-82.41827,28.06172,5.8,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480149,true,2012-10-05 21:56:12.000,-82.41846,28.06236,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480150,true,2012-10-05 22:00:38.000,-82.41864,28.06264,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480151,true,2012-10-05 22:04:14.000,-82.41843,28.06234,2.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480152,true,2012-10-05 22:08:56.000,-82.4184,28.06237,1.3,7,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480153,true,2012-10-05 22:12:10.000,-82.41843,28.06236,1.5,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480154,true,2012-10-05 22:16:15.000,-82.41855,28.06242,1.7,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480155,true,2012-10-05 22:20:11.000,-82.41839,28.06241,3.6,6,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480156,true,2012-10-05 22:24:09.000,-82.41843,28.06248,1.3,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480157,true,2012-10-05 22:28:10.000,-82.4184,28.06213,1.8,4,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
18974480158,true,2012-10-05 22:32:16.000,-82.4184,28.0624,1.4,5,"gps","Cairina moschata","gps01","jimmy","Muscovy duck GPS tracking (Downs USF)"
